age,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score
56,3.26,86,5.31,7.72,3.49,35,119,3.57
46,1.85,32,7.36,9.7,3.01,16,299,1.91
32,3.04,107,4.5,6.38,5.03,17,21,6.05
25,9,36,6.68,5.53,10,3,220,9.92
38,3.52,56,7.57,6.69,6.71,92,167,5.99
56,7.26,10,7.79,6.16,10,50,198,7.85
36,4.56,83,6.81,6.81,5.38,19,39,5.52
40,3.36,89,6.5,8.75,3.48,66,127,4.5
28,2.3,109,7.57,8.05,3.46,103,99,2.52
28,9.75,46,4.73,5.52,10,56,121,10
41,5.69,65,7.4,5.78,7.9,13,86,7.91
53,2.03,88,8.6,5.79,5.23,91,294,3.37
57,2.79,3,7.41,10,1.87,111,203,1.57
41,4.67,82,4.23,4.66,7.93,43,286,9.04
20,5.9,76,6.53,5.36,8.09,105,104,8.29
39,2.64,82,7.63,7.14,5.35,24,80,5.84
19,3.5,76,4.22,8.25,4.36,63,206,4.57
41,8.05,54,7.81,6.23,6.99,1,104,5.75
47,4.76,11,5.41,6.82,7.48,37,131,5.57
55,1.01,65,6.94,8.61,2.94,77,209,1.97
19,1.49,36,8.83,7.93,2.64,5,143,1.88
38,4.95,113,8.97,4.85,8.99,47,148,9.36
50,1.54,22,7.17,9.57,1,87,249,1
29,2.57,54,6.46,6.38,4.73,99,45,3.29
39,7.55,18,4.89,6.15,8.95,80,136,9.25
42,5.32,66,5.04,5.6,6.95,27,88,6.83
44,5.34,87,6.15,3.71,10,109,262,8.86
59,6.38,22,7.51,6.23,7.26,98,67,8.9
45,8.1,3,7.85,6.87,9.62,65,232,8.74
33,2.43,17,5.11,8.77,1,38,240,1.53
32,2.56,11,6.68,7.34,4.48,84,285,4.71
20,2.09,34,6.96,8.54,4.18,40,287,4.27
54,9.43,26,8.47,3.12,10,115,136,9.7
24,6.2,42,8.38,8.36,5.59,2,148,7.25
38,1.83,77,8.09,7.94,2.37,70,106,1.45
26,2.99,94,6.58,7.57,4.56,0,265,4.96
56,7.53,66,4.33,6.57,8.33,48,103,9.11
35,1.26,68,5.67,8.39,1.5,109,97,1
21,7.53,63,7.11,5.33,10,34,291,10
42,9.2,92,7.19,2.99,10,34,32,8.11
31,1.51,102,8.25,5.44,7.76,48,44,8.22
26,2.68,51,5.9,7.08,3.92,61,153,3.39
43,1.02,16,8.68,9.37,1,15,36,1
19,1.98,82,4.82,7.73,1.91,64,227,1.31
37,6.55,98,4.25,5.36,6.51,1,145,9.02
45,1.4,32,4.88,7.55,4.85,1,272,4.72
24,4.83,71,6.31,5.72,6.43,66,83,5.68
25,5.53,51,8.11,7.31,6.43,58,170,6.44
52,9.16,100,4.77,3.95,10,41,298,8.9
31,5.27,34,6.74,5.41,9.21,98,113,8.57
34,2.28,19,7.88,9.68,1.53,31,157,2.08
53,3.6,80,4.17,8.47,4.19,15,91,4.41
57,7.05,44,4.21,4.78,9.74,108,226,10
21,2.01,76,6.45,7.69,4.65,48,293,5.48
19,3.09,67,4.91,7.12,6.38,52,274,5.57
23,9.96,49,6.25,3.07,10,65,299,8.86
59,1.05,57,4.22,8.49,3,36,297,3.65
21,2.37,29,8.88,8.71,2.43,52,59,1.72
46,8.59,69,7.27,4.77,10,50,232,10
35,1.91,1,7.43,10,1,75,234,1.7
43,1.3,78,6.55,7.06,3.94,65,244,3.39
51,2.09,33,8.12,7.27,3.83,87,29,3.83
27,7.24,51,8.17,6.62,9.1,1,114,8.88
53,9.94,83,4.8,4.61,10,1,240,8.95
31,6.32,15,7.84,4.45,9.38,28,172,10
48,2.12,42,6.83,7.36,4.44,65,151,4.97
32,2.65,63,7.81,5.83,6.45,14,293,7.11
25,5.84,112,8.59,6.22,6.97,105,112,7.96
31,7.44,92,5.68,5.68,9.92,101,225,10
40,6.97,26,6.85,6.03,10,114,293,10
57,6.17,118,7.94,6.07,8.04,44,28,8.05
38,9.88,64,8.93,4.67,10,84,181,10
33,2.78,12,7.06,8.78,3.19,82,56,4.12
35,2.56,39,7.61,7.56,4.87,79,159,5.18
41,8.73,31,8.23,3.68,10,70,51,10
43,3.62,66,7.76,6.81,6.02,28,129,6.53
42,3.99,13,8.71,7.77,4.32,82,251,3.92
58,5.94,119,5.15,5.61,9.2,32,48,8.96
46,4.43,119,8.54,6,7.39,87,89,8.79
32,3.59,57,5.04,7.2,5.67,50,276,5.69
18,9.25,91,6.83,4.13,10,112,166,10
42,2.16,45,6.61,7.16,4.26,82,276,3.81
24,4.64,89,8.16,5.68,7.51,4,113,8.48
26,1.03,84,5.99,8.91,2.71,36,228,2.9
41,8.27,109,4.72,3.61,10,88,76,10
18,2.52,114,7.53,6.58,5.06,2,31,3.93
25,7.96,74,7.03,5.31,9.51,91,138,10
41,2.34,90,8.14,6.57,3.26,89,53,3.72
28,4.75,107,7.79,5.36,8.04,10,100,6.42
34,7.55,58,8.47,3.5,10,10,92,9.55
25,3.44,64,8.2,8.3,4.38,6,28,4.97
52,3.83,32,7.43,8.8,2.74,89,129,1.14
52,7.01,45,6.33,6.68,9.17,110,293,9.75
50,2.69,81,4.1,7.48,5.46,67,232,5.83
22,9.57,53,5.54,3.15,10,18,22,10
59,2.7,65,7.64,7.08,5,33,56,5.42
56,7.75,3,4.3,5.19,9.21,9,285,7.27
58,8.22,53,7.78,4.2,10,1,291,10
45,4.37,113,6.58,5.54,8.33,70,57,7.21
24,2.41,3,8.34,8.31,3.28,107,151,3.25
26,2.49,118,7.3,7.86,2.57,34,148,1.63
25,9.87,16,7.99,4.84,10,31,273,9.87
29,7.53,111,4.86,5.73,9.16,14,134,9.44
51,5.05,79,4.86,5.43,8.59,11,199,7.23
50,3.32,72,5.06,7.51,4.53,62,195,5.48
40,1.17,89,5.67,7.7,1,110,234,1.89
41,7.03,73,8.52,5.77,7.95,107,184,7.49
54,9.61,70,7.87,4.87,10,76,91,9.78
52,1.96,72,5.82,8.95,1.49,42,132,2.59
57,7.79,54,8.59,4.85,9.32,71,65,9.45
39,2.38,47,7.89,8.02,4.21,102,143,2.53
44,8.13,90,7.28,5.36,10,84,61,10
52,4.34,95,6.18,8.14,3.61,26,145,4.41
18,7.41,48,7.26,5.58,10,54,180,10
52,9.34,22,6.97,4.78,10,80,236,8.74
54,6.58,26,7.91,6.17,8.59,74,195,8.36
31,9.29,24,5.13,2.97,10,71,182,9.33
20,3.12,92,8.43,7.22,4.68,31,294,5.4
18,9.8,23,6.96,4.08,10,9,101,10
22,8.86,79,8.03,3.13,10,34,21,10
43,1.97,79,5.74,8.26,3.9,118,31,3.51
31,4.72,91,5.96,6.05,7.01,91,227,7.48
56,9.34,19,8.69,5.88,10,95,145,10
44,1.7,52,7.11,8.25,1.44,3,75,2.7
26,5.08,82,5.59,4.89,7.36,113,93,8.09
32,7.51,73,4.41,5.19,10,90,180,10
32,1.3,25,6.17,7.01,2.72,115,163,2.38
43,7.78,59,8.25,5.9,9.21,38,177,9.12
59,4.25,1,5.26,9.24,2.96,42,193,3.84
30,3.24,2,8.3,8.06,3.8,17,84,3.03
49,6.18,102,4.81,5.41,8.14,31,279,8.15
56,5.9,55,4.65,7.47,5.21,68,134,6.4
49,8.87,65,7.03,4.47,10,117,282,7.86
21,7.08,24,8.02,4.35,10,100,113,9.52
47,4.8,108,7.9,7.21,4.54,27,201,4.23
54,6.85,67,6.72,4.95,10,38,218,10
40,7.75,14,7.19,5.66,8.53,76,141,9.36
56,9.44,81,5.29,5.53,10,85,227,9.06
32,7.34,6,6.76,8.69,5.23,26,259,4.41
46,5.89,90,5.04,4.83,9.99,52,178,10
53,4.36,81,8.64,7.46,5.3,8,104,4.45
30,9.02,70,7.39,4.61,10,90,286,10
49,8.13,119,6.82,5.73,10,50,49,9.63
24,1.69,92,5.24,7.36,4.11,80,134,5.09
39,7.3,40,6.04,6.03,8.76,11,199,7.96
45,5.85,59,7.9,5.6,7.92,11,249,7.27
19,1.93,43,5.2,10,1,98,95,1.78
59,6.08,32,4.64,5.91,9.63,119,125,10
23,2.73,65,5.54,7.04,3.84,91,209,2.02
45,7.37,81,7.97,5.66,9.98,29,221,10
45,3.51,109,8.42,5.62,6.77,26,290,6.28
37,2.35,22,6.07,8.81,1.03,42,138,2.44
47,1.74,63,7.91,7.75,2.57,95,223,1
28,5.42,5,5.66,6.61,7.38,57,292,6.76
45,2.8,62,6.54,7.43,3.37,52,140,2.32
42,8.7,42,4.1,3.87,10,101,172,9.91
56,1.03,24,7.56,7.89,3.34,103,132,3.5
50,8.59,82,7.59,3.78,10,5,31,10
18,5.69,7,4.5,9.19,5.63,94,64,6.71
44,9.3,116,5.79,2.76,10,116,98,10
30,2.84,36,6.42,9.77,1,0,282,1
58,1.92,89,7.87,8.2,2.15,42,138,3.47
20,6.62,92,8.12,4.92,9.76,20,217,10
56,7.36,58,7.6,4.8,9.59,75,192,10
23,4.35,27,5.08,7.48,6.43,11,248,6.18
25,1.12,52,5.78,10,1,119,217,1.57
44,4.66,119,5.24,4.34,9.22,100,262,9.2
26,3.1,70,7.19,6.96,4.55,45,261,3.89
54,4.13,54,7.24,7.94,4.13,85,146,4.16
50,5.56,35,4.08,6.51,6.48,37,102,5.63
59,7.32,61,7.66,5.46,8.39,50,66,8.5
41,9.67,14,5.15,2.71,10,79,98,10
32,2.3,53,8.01,8.17,4.45,75,174,3.89
49,7.12,60,8.16,5.9,10,102,241,9.36
49,3.1,96,7.98,6.74,5.66,44,24,7.24
41,2.99,53,6.04,7.33,4.76,13,170,4.54
58,6.7,68,5.74,6.76,7.43,8,193,6.82
29,7.98,28,6.18,6.14,8.26,1,212,7.55
56,9.8,80,6.64,4.16,10,28,220,8.05
19,7.92,108,5.25,6.36,8.92,60,164,10
20,2.42,26,8.66,8.04,2.47,34,33,2.9
54,3.03,80,6.52,7.16,6.73,85,34,5.95
34,7.85,114,4.37,5.91,10,68,61,10
19,5.74,67,8.99,5.62,8.83,4,189,8.99
19,3.66,112,6.42,8.22,3.09,43,136,2.99
45,5.25,11,8.73,7.1,5.55,49,237,5.97
40,9.23,22,5.95,6.2,8.88,54,217,9.91
54,7.8,49,5.12,6.06,10,83,294,9.66
49,5.06,74,7.68,5.41,6.8,96,197,8.8
50,9.82,99,6.16,3.85,10,43,127,9.16
18,8.15,75,8.41,5.14,10,68,298,10
36,1.05,72,6.32,8.8,1.75,61,157,2.27
19,2.01,87,5.69,9.71,1,6,65,1
43,5.99,81,8.83,6.3,8.27,68,208,9.88
49,4.15,26,8.15,7.37,7.16,0,268,8.59
23,8.31,58,5.03,3.81,10,82,289,10
49,9.06,8,6.44,5.42,9.93,72,240,9.91
21,3.17,32,4.57,7.36,5.88,80,273,6.17
28,7.87,69,4.54,4.07,10,38,41,10
34,5.82,50,8.27,6.16,6.62,8,130,5.84
55,4.53,96,8.66,4.71,10,51,292,10
41,8.08,39,7.69,3.29,10,79,197,10
22,6.08,5,8.95,7.15,7.44,82,53,6.36
51,6.72,3,4.23,9,4.13,110,187,2.02
23,1.56,2,5.66,10,1.85,77,284,1.04
39,6.27,12,4.66,5.8,7.37,99,172,6.6
28,3.71,25,7.91,8.6,3.39,35,239,3.03
33,5.44,33,8.45,9.44,3.39,43,257,3.85
50,3,76,6.24,6.75,3.45,66,121,3.13
26,6.53,52,8.15,4.59,8.72,25,151,9.07
23,2.33,46,8.24,8.68,2.64,110,127,1.16
33,2.11,7,4.7,10,1,10,37,3.66
46,2.7,75,5.88,7.73,2.33,42,144,2.75
20,8.36,7,4.94,5.66,9.94,27,246,10
37,1.3,18,7.35,8.57,4.49,39,35,4.19
53,7.57,104,5.94,3.5,10,106,279,8.36
36,1.51,73,7.34,7.36,4.6,118,248,4.08
43,6.33,31,8.38,6.16,8.11,10,209,7.06
20,7.96,20,6.06,7.62,7.8,11,222,6.14
36,3.08,63,8.86,4.89,7.04,41,142,6.58
37,2.76,22,6.04,10,1.62,90,99,1.33
49,3.6,90,5.07,7.74,3.54,75,42,2.78
24,7.3,88,6.65,4.57,10,32,270,10
58,3.29,70,6,7.73,3.38,4,261,3.94
50,5.52,41,4.63,5.77,7.28,20,109,7.76
57,2.21,34,4.12,10,1,29,174,1.11
56,5.15,1,7.72,6,7.33,32,295,6.51
35,6.62,91,8.66,3.7,9.46,73,192,8
57,1.65,70,6.2,8.7,2.58,0,107,2.13
18,8.34,105,4.33,4.22,10,28,137,10
28,9.44,103,7.7,3.65,10,70,165,9.49
45,2.74,75,8.34,7.1,3.02,50,254,3.06
42,7.83,51,5.62,4.52,10,96,281,9.29
40,3.82,16,5.11,7.49,6.51,64,290,6.29
48,7.09,85,5.69,6.24,9.32,94,249,9.38
47,3.76,8,8.54,9.27,3.94,47,180,3.62
59,8.76,51,6.09,5.68,9.58,32,252,7.9
52,4.12,2,7.27,7.29,5.81,2,291,4.2
24,8.64,21,4.37,4.16,9.94,94,296,10
33,7.9,53,5.41,6.97,7.15,65,62,5.93
43,2.77,35,5.14,6.4,6.45,17,186,6.28
19,2.41,38,4.31,7.94,2.53,103,201,2.19
18,8.02,17,4.6,5.88,9.47,17,92,8.83
29,4.51,80,6.08,9.61,3.35,87,256,3.67
22,9.54,26,6.79,4.81,9.86,95,217,10
54,9.49,117,5.56,4,10,87,193,10
49,7.24,98,6.1,5.29,10,72,193,10
26,5.51,95,7.8,6.98,8.75,11,285,9.54
58,2.75,66,5.24,8.46,4.13,26,201,4.01
52,8.94,12,4.17,5.96,10,58,175,10
